epoch,IoU,auc,binaryCE,dice_coef,dice_loss,loss,pr_auc,precision,recall,val_IoU,val_auc,val_binaryCE,val_dice_coef,val_dice_loss,val_loss,val_pr_auc,val_precision,val_recall,val_weighted_bce,weighted_bce
0,0.32000279426574707,0.9711164236068726,0.153851717710495,0.40540412068367004,0.5945959091186523,0.517145574092865,0.5666804909706116,0.1804478019475937,0.9026936292648315,0.43636584281921387,0.9823470711708069,0.023859664797782898,0.5229405760765076,0.47705936431884766,0.41092008352279663,0.7955012917518616,0.7744084000587463,0.8850545883178711,0.21015144884586334,0.28479328751564026
1,0.46723636984825134,0.9913294315338135,0.03019201010465622,0.5563032627105713,0.4436967670917511,0.38086748123168945,0.7580241560935974,0.6997475624084473,0.9151487946510315,0.434325248003006,0.9894967675209045,0.029566574841737747,0.5195057988166809,0.4804942011833191,0.39611026644706726,0.7435991764068604,0.6950149536132812,0.9359722137451172,0.1402040421962738,0.19238018989562988
2,0.5197935700416565,0.9915952682495117,0.022711044177412987,0.6076363325119019,0.39236366748809814,0.34512266516685486,0.8167654275894165,0.7940592765808105,0.9225998520851135,0.4586252272129059,0.9868868589401245,0.01820540241897106,0.542499303817749,0.4575006365776062,0.39821407198905945,0.8104364275932312,0.8188487887382507,0.8752507567405701,0.2186422497034073,0.20339994132518768
3,0.510906457901001,0.9921872615814209,0.021919433027505875,0.5965093374252319,0.40349090099334717,0.34569790959358215,0.8151161670684814,0.7938531637191772,0.9227253794670105,0.44183972477912903,0.9883154630661011,0.03313235566020012,0.5257272124290466,0.47427284717559814,0.3903568685054779,0.7300606966018677,0.6890410780906677,0.9492681622505188,0.13577845692634583,0.17231857776641846
4,0.5321727991104126,0.9922610521316528,0.020478172227740288,0.6165937781333923,0.38340622186660767,0.33155593276023865,0.8247348070144653,0.81143718957901,0.9221134781837463,0.4704799950122833,0.9887472987174988,0.024169636890292168,0.5514468550682068,0.44855308532714844,0.37189173698425293,0.7929316759109497,0.7677888870239258,0.9460249543190002,0.1392059475183487,0.17600619792938232
5,0.5335321426391602,0.9933866858482361,0.0195529293268919,0.615972638130188,0.3840274512767792,0.3313494920730591,0.8308406472206116,0.8161260485649109,0.9282119274139404,0.45661962032318115,0.9895623922348022,0.027212148532271385,0.5383119583129883,0.46168816089630127,0.3793972432613373,0.7592588067054749,0.7220628261566162,0.9461066722869873,0.12977398931980133,0.17331522703170776
6,0.540424108505249,0.9931237697601318,0.019174965098500252,0.6249051690101624,0.37509480118751526,0.322659969329834,0.8339748382568359,0.819633960723877,0.9272749423980713,0.4691667854785919,0.9887627363204956,0.028364021331071854,0.5502395033836365,0.449760377407074,0.3742927014827728,0.7511967420578003,0.7266068458557129,0.9378891587257385,0.14522920548915863,0.16535444557666779
7,0.5422753691673279,0.9933561086654663,0.017189346253871918,0.6214151978492737,0.3785843253135681,0.3235870897769928,0.8492552042007446,0.8446923494338989,0.927049458026886,0.514822781085968,0.9867451190948486,0.01622864045202732,0.5885854959487915,0.4114145338535309,0.36275407671928406,0.8511732816696167,0.8586949706077576,0.9234081506729126,0.21423058211803436,0.15859626233577728
8,0.5499987006187439,0.9938924312591553,0.01652541384100914,0.6285584568977356,0.37144187092781067,0.31802183389663696,0.8544013500213623,0.8477981090545654,0.9305166006088257,0.4850439429283142,0.9900886416435242,0.02265281416475773,0.5657770037651062,0.43422290682792664,0.355643093585968,0.8048297762870789,0.7782760858535767,0.959915280342102,0.11738068610429764,0.1577620506286621
9,0.5703836679458618,0.9935290813446045,0.016118589788675308,0.6497421860694885,0.3502581715583801,0.30180180072784424,0.8603783845901489,0.8571665287017822,0.9324185848236084,0.5140160322189331,0.9889554381370544,0.01569182612001896,0.5892388820648193,0.4107610881328583,0.3572021424770355,0.8459200263023376,0.8479708433151245,0.9252767562866211,0.19400905072689056,0.15643398463726044
10,0.5577759742736816,0.993600606918335,0.017033424228429794,0.6369372606277466,0.36306262016296387,0.3108692467212677,0.8488398790359497,0.8464293479919434,0.9276718497276306,0.4687449336051941,0.9893070459365845,0.025520294904708862,0.5472391843795776,0.4527607560157776,0.37337809801101685,0.7773681282997131,0.749675452709198,0.9460509419441223,0.1325097382068634,0.15428954362869263
11,0.5747328996658325,0.9929449558258057,0.01609143242239952,0.653699517250061,0.34630081057548523,0.2989874482154846,0.8581686019897461,0.8585109710693359,0.9284571409225464,0.5063748359680176,0.9890180230140686,0.024616960436105728,0.5843402147293091,0.41565990447998047,0.34860432147979736,0.793868899345398,0.7819611430168152,0.9463332891464233,0.14496679604053497,0.15704818069934845
